file_path,category,tissue
fold_1/sample_0/image.png,[0 0 0 0 1 1 2 2],3
fold_1/sample_1/image.png,[0 0 0 0 0 0 0 0 1 2],3
fold_1/sample_2/image.png,[0 0 0 0 0 0 0 0 2 2 2],3
fold_1/sample_3/image.png,[0 0 0 0 0 0 0 0 0 0],3
fold_1/sample_4/image.png,[0 0 0 1 1 2 2],3
fold_1/sample_5/image.png,[0 0 1 2 2 2 2],3
fold_1/sample_6/image.png,[0 0 0 0 0 1 1 2 2],3
fold_1/sample_7/image.png,[0 0 0 0 0 0 0 0 2 2],3
fold_1/sample_8/image.png,[0 0 1 2 2 2 2 2 2 2 2],3
fold_1/sample_9/image.png,[0 0 0 0 0 1 2 2 2 2 2 2 2],3
fold_1/sample_10/image.png,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2],3
fold_1/sample_11/image.png,[0 0 0 0 0 0 0 0 0 2 2 2 2 2],3
fold_1/sample_12/image.png,[0 0 0 0 0 0 0 2 2],3
fold_1/sample_13/image.png,[0 0 0 2 2 2 2 2 2],3
fold_1/sample_14/image.png,[0 0 0 0 0 1 2 2 2],3
fold_1/sample_15/image.png,[0 0 0 0 2 2 2 2 2 2 2 2],3
fold_1/sample_16/image.png,[0 0 0 0 0 0 0 1 2 2 2 2],3
fold_1/sample_17/image.png,[0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2],3
fold_1/sample_18/image.png,[0 0 0 0 1 2 2],3
fold_1/sample_19/image.png,[0 0 1 1 1 2 2 2 2 2 2 2 2],3
fold_1/sample_20/image.png,[0 0 0 0 0 0 0 0 0 0],3
fold_1/sample_21/image.png,[0 0 0 0 0 0 0 0 0 2 2],3
fold_1/sample_22/image.png,[0 0 0 0 0 0 0 0],3
fold_1/sample_23/image.png,[0 0 0 0 0 0 0 2 2 2 2 2],3
fold_1/sample_24/image.png,[0 0 0 0 0 0 0 0 0 0],3
fold_1/sample_25/image.png,[0 0 0 0 0 0 0 0 0 0 0 0 0 2],3
fold_1/sample_26/image.png,[0 0 0 0 2 2 2 2 2 2 2],3
fold_1/sample_27/image.png,[0 0 0 0 2 2 2 2 2 2 2],3
fold_1/sample_28/image.png,[0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2],3
fold_1/sample_29/image.png,[0 0 0 0 0 0 0 2 2 2 2 2 2],3
fold_1/sample_30/image.png,[0 0 0 0 0 0 0 0 0 0 0 0],3
fold_1/sample_31/image.png,[1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],3
fold_1/sample_32/image.png,[0 1 1 1 2 2 2 2 2 2 2 2],3
fold_1/sample_33/image.png,[0 0 0 0 0 0 0 0 0 0 0 2],3
fold_1/sample_34/image.png,[0 0 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2],3
fold_1/sample_35/image.png,[0 0 0 0 0 0 1 1 2 2 2],3
fold_1/sample_36/image.png,[0 0 0 0 0 0 0 0 2 2 2 2 2],3
fold_1/sample_37/image.png,[0 0 1 2 2 2 2 2 2 2 2],3
fold_1/sample_38/image.png,[1 2 2 2 2 2 2],3
fold_1/sample_39/image.png,[0 0 0 0 0 0 0 0 0 0 2 2 2 2],3
fold_1/sample_40/image.png,[0 0 0 1 2 2 2 2 2 2 2 2],3
fold_1/sample_41/image.png,[1 2 2 2 2 2 2 2 2],3
fold_1/sample_42/image.png,[0 0 0 0 0 0 0 0 0 2 2 2 2 2],3
fold_1/sample_43/image.png,[0 0 2 2 2 2 2 2 2 2 2],3
fold_1/sample_44/image.png,[0 0 2 2 2 2 2 2 2],3
fold_1/sample_45/image.png,[1 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_46/image.png,[1 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_47/image.png,[1 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_48/image.png,[1 2 2 2 2 4],3
fold_1/sample_49/image.png,[2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_50/image.png,[2 2 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_51/image.png,[0 0 0 0 2 2 2 2 2 2 2 2 2],3
fold_1/sample_52/image.png,[0 0 0 2],3
fold_1/sample_53/image.png,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3
fold_1/sample_54/image.png,[0 0 0 0 1 2 2 2 2],3
fold_1/sample_55/image.png,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2],3
fold_1/sample_56/image.png,[0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2],3
fold_1/sample_57/image.png,[1 1 2 2 2 2 2 2 2 2 2 2 2 2 2],3
fold_1/sample_58/image.png,[2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_59/image.png,[1 1 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_60/image.png,[2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_61/image.png,"[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4]",3
fold_1/sample_62/image.png,[1 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4],3
fold_1/sample_63/image.png,[2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_64/image.png,"[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4]",3
fold_1/sample_65/image.png,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4],3
fold_1/sample_66/image.png,"[2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4]",3
fold_1/sample_67/image.png,[1 1 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_68/image.png,[2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_69/image.png,[1 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_70/image.png,[2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_71/image.png,[1 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],3
fold_1/sample_72/image.png,"[2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4]",3
